lon,lat,temperature
121.75,32.75,664.22327321837
107.25,33,632.09825667447
107.5,33,664.00842663642
107.75,33,709.30237299825
108,33,769.93229382921
108.25,33,824.7030285439
108.5,33,877.36476502055
108.75,33,908.42825561429
109,33,926.95205419066
109.25,33,929.22313668201
109.5,33,921.36639746612
109.75,33,888.33607298785
110,33,819.46888417443
110.25,33,782.17440959081
110.5,33,741.17761824989
110.75,33,739.57142514313
111,33,695.99646563046
111.25,33,660.27237266996
111.5,33,616.49629827235
111.75,33,544.90105028661
112,33,521.53971630453
112.25,33,478.99442342977
112.5,33,465.51227905378
112.75,33,449.80002231856
113,33,436.91022052138
113.25,33,427.87182739395
113.5,33,422.86082877987
113.75,33,431.8277817387
114,33,447.71174316691
114.25,33,457.30631981236
114.5,33,456.26436235909
114.75,33,463.99469837005
115,33,473.42058824922
115.25,33,483.29565678327
115.5,33,498.90910247892
115.75,33,520.23130080039
116,33,544.97621978951
116.25,33,570.43080183543
116.5,33,607.77748899707
116.75,33,646.13998115619
117,33,659.22534377403
117.25,33,657.09555468258
117.5,33,649.46897876462
117.75,33,642.80764421482
118,33,637.77047733779
118.25,33,632.44580066111
118.5,33,635.43560935362
118.75,33,636.03180725697
119,33,627.42208151151
119.25,33,621.91788042575
119.5,33,636.7698365507
119.75,33,647.77303718963
120,33,662.02318319868
120.25,33,673.88795447597
120.5,33,682.6726823646
120.75,33,684.12718422582
121,33,680.24291654627
121.25,33,677.46604701021
121.5,33,670.8423744449
121.75,33,669.51985834299
107.25,33.25,617.52608016597
107.5,33.25,666.0497543906
107.75,33.25,714.14492363104
108,33.25,778.51548103913
108.25,33.25,850.78505390817
108.5,33.25,901.81791809935
108.75,33.25,940.08383722406
109,33.25,960.71630179052
109.25,33.25,958.05863592159
109.5,33.25,945.47804266919
109.75,33.25,924.49112670412
110,33.25,816.13802976428
110.25,33.25,796.4083823414
110.5,33.25,782.95289324602
110.75,33.25,738.9930785756
111,33.25,712.84140727168
111.25,33.25,676.06700646285
